Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
5.86,42.0,2.0,2.0,3.0,3.5,4.0,1,1,0.35,14.0
12.5,50.5,4.0,4.0,5.0,4.0,5.0,1,1,0.33,8.0
4.95,64.0,2.0,3.0,2.0,6.0,4.0,1,1,0.19,10.0
7.5,26.0,3.0,3.0,4.0,5.0,6.0,1,1,1.7,17.0
11.0,76.0,5.0,5.0,4.0,8.0,4.0,1,0,0.28,10.0
7.15,50.0,4.0,3.0,4.0,3.0,4.5,1,1,0.3,15.0
5.1,35.0,4.0,5.0,5.0,4.0,4.0,1,1,0.24,20.0
5.8,42.0,4.0,4.0,5.0,3.0,3.5,1,1,0.35,14.0
14.5,69.0,4.0,5.0,6.0,5.0,4.1,1,0,0.35,14.0
14.8,70.0,4.0,5.0,6.0,5.0,4.1,1,1,0.35,14.0
4.1,100.0,3.0,1.0,1.0,6.0,5.0,1,1,0.12,14.0
3.55,93.0,5.0,2.0,2.0,4.0,4.0,1,1,0.12,14.0
3.25,47.0,3.0,3.0,3.0,5.0,3.8,1,0,0.16,20.0
3.25,68.5,3.0,4.0,3.0,4.0,6.2,1,1,0.09,22.0
3.7,43.8,4.0,3.0,3.0,2.5,3.75,1,1,0.16,20.0
2.9,15.0,2.0,3.0,4.0,2.0,3.4,1,1,1.7,17.0
6.9,60.0,4.0,4.0,4.0,2.0,4.5,1,1,1.7,17.0
5.6,36.0,2.0,2.0,2.0,10.0,6.0,1,1,0.61,12.0
5.5,42.1,4.0,3.0,4.0,3.0,3.6,1,1,0.21,16.0
21.8,74.0,4.0,4.0,7.0,6.0,5.5,1,1,0.22,13.0
6.05,57.0,4.0,5.0,4.0,10.0,4.4,1,1,0.21,11.0
5.8,38.0,4.0,3.0,5.0,2.5,4.0,1,1,0.22,13.0
15.8,61.0,7.0,8.0,6.0,11.0,4.0,1,1,0.99,9.0
3.15,28.0,2.0,3.0,4.0,2.5,3.0,1,1,0.29,13.0
5.8,63.0,3.0,2.0,2.0,2.0,4.0,1,0,0.22,13.0
12.4,113.0,5.0,6.0,4.0,10.0,4.5,1,1,0.67,15.0
6.9,79.1,4.0,4.0,4.0,8.5,4.0,1,1,0.27,8.0
5.99,65.0,4.0,2.0,2.0,6.0,3.3,1,0,1.96,10.0
0.0285,60.0,6.0,5.0,5.0,8.0,3.9,1,0,0.31,10.0
14.66,65.0,4.0,6.0,6.0,4.0,5.8,0,1,0.33,8.0
5.8,36.0,3.0,4.0,5.0,3.0,4.0,1,1,0.22,13.0
11.9,50.0,4.0,4.0,4.0,12.0,4.0,1,1,0.3,15.0
4.6,45.0,2.0,2.0,2.0,4.0,4.0,1,1,0.16,34.0
7.99,60.0,5.0,5.0,5.0,5.0,4.0,1,0,0.61,12.0
5.7,38.0,5.0,4.0,5.0,2.5,5.0,1,1,0.22,13.0
11.9,63.0,4.0,4.0,4.0,5.0,4.1,1,1,2.24,11.0
6.87,24.0,3.0,3.0,5.0,4.0,3.0,1,0,1.7,17.0
5.65,80.0,7.0,7.0,2.0,6.0,6.0,1,1,0.19,10.0
5.9,100.0,4.0,3.0,2.0,8.0,5.0,1,1,0.21,11.0
11.9,54.0,6.0,5.0,6.0,3.0,4.5,1,1,0.99,9.0
7.4,55.0,4.0,4.0,4.0,2.0,4.0,1,1,0.25,16.0
2.9,90.0,2.0,1.0,1.0,4.0,5.0,1,1,0.27,8.0
8.5,68.0,4.0,3.0,4.0,4.0,4.1,1,1,0.61,12.0
8.7,30.0,4.0,4.0,4.0,7.0,3.5,1,1,0.72,15.0
1.95,65.0,2.0,1.0,1.0,3.0,5.0,1,1,0.1,13.0
12.0,70.0,6.0,4.0,7.0,6.0,4.5,1,1,0.22,13.0
7.5,114.0,3.0,3.0,2.0,10.0,6.0,1,1,0.1,7.0
1.55,20.0,2.0,2.0,2.0,3.0,4.7,1,0,0.16,34.0
11.0,60.0,4.0,4.0,4.0,5.5,5.0,1,1,0.1,4.0
19.8,55.0,3.0,4.0,5.0,6.0,5.8,1,1,1.41,13.0
